-5862, -6011, 1675, 9566, -7614, -12188
-6314, -6350, 1576, 12751, -9856, -12942
-6754, -6481, 1342, 15749, -11550, -13418
-7199, -6211, 1054, 17920, -13041, -13580
-7523, -5530, 600, 17828, -15398, -13623
-7467, -4558, -56, 17866, -17001, -12826
-6994, -2980, -878, 16142, -16569, -11763
-6064, -1135, -1781, 9825, -13145, -8579
-5065, 108, -2476, 6700, -7618, -3497
-4380, 951, -2806, 8391, -3705, 714
-3937, 1685, -2740, 7772, -1739, 3249
-3579, 2316, -2375, 4350, -480, 4323
-3285, 2763, -1807, 1523, 348, 5834
-3109, 2888, -1008, 316, 1209, 8248
-3128, 2689, 34, 685, 2667, 10190
-3347, 2415, 1192, 874, 2238, 11101
-3628, 2002, 2238, -174, -457, 11931
-3771, 1346, 3116, -601, -2586, 12454
-3855, 636, 3913, -313, -2581, 12510
-4074, -106, 4633, -1313, -3459, 12182
-4310, -1006, 5154, -2896, -6207, 10600
-4406, -2018, 5426, -2524, -8767, 8953
-4318, -2974, 5474, -2550, -10717, 6502
-4141, -3913, 5332, -2656, -11881, 2964
-3999, -4672, 4991, -1386, -12579, 101
-3746, -5164, 4464, -800, -14040, -2660
-3380, -5456, 3773, -822, -14306, -5203
-3000, -5623, 2995, 216, -13745, -7209
-2614, -5586, 2162, 861, -12950, -9144
-2205, -5392, 1374, 21, -11546, -11243
-1834, -5129, 667, -859, -9703, -13250
-1567, -4784, 42, -21, -8003, -14939
-1382, -4311, -544, 2474, -6603, -15511
-1218, -3655, -1099, 4684, -5217, -15314
-1036, -2885, -1545, 4644, -3046, -14873
-937, -2149, -1800, 2532, -583, -14694
-907, -1477, -1892, 313, 924, -14785
-825, -781, -1898, -357, 1940, -14239
-710, -108, -1876, 848, 3650, -12099
-658, 455, -1739, 1131, 6184, -10262
-781, 962, -1350, -331, 8132, -9752
-949, 1588, -793, -2069, 8469, -9334
-1139, 2265, -218, -3068, 8160, -7089
-1259, 2826, 370, -4145, 7753, -4383
-1358, 3264, 956, -5295, 8608, -2286
-1489, 3567, 1531, -6697, 9385, -665
-1657, 3641, 2069, -5695, 9532, 1213
-1744, 3606, 2598, -666, 9784, 3608
-1882, 3857, 3250, 1530, 11109, 5670
-2160, 4031, 3980, -3548, 11291, 7106
-2453, 3546, 4656, -5926, 10022, 8398
-2668, 2778, 5316, -2390, 8932, 9626
-2860, 2046, 5951, -1498, 7455, 9228
-2963, 1210, 6388, -2786, 5017, 8062
-2910, 248, 6622, -2682, 3239, 7105
-2801, -693, 6708, -1264, 1642, 5501
-2657, -1344, 6621, -1082, -518, 2932
-2496, -1733, 6273, -1435, -2769, 699
-2240, -1877, 5691, -202, -3990, -443
-1958, -1714, 5035, 613, -3369, -1037
-1743, -1345, 4394, 140, -2339, -1110
-1586, -940, 3798, -1078, -1689, -820
-1471, -674, 3247, -1727, -1456, -574
-1359, -502, 2736, -1377, -1116, -529
-1290, -417, 2257, -912, -316, -385
-1277, -430, 1806, -455, 407, -518
-1287, -486, 1393, -170, 972, -967
-1311, -490, 1053, -664, 1670, -1635
-1370, -457, 791, -1917, 2525, -2158
-1485, -499, 583, -2676, 3244, -2056
-1546, -518, 467, -2180, 3838, -2055
-1587, -363, 475, -2108, 5241, -1913
-1731, -156, 557, -3508, 6356, -385
-1903, -66, 653, -5638, 7160, 952
-1986, -99, 742, -6548, 8035, 1524
-2104, -168, 928, -5884, 9898, 2604
-2358, -192, 1222, -5484, 11247, 4260
-2731, -231, 1523, -7659, 12110, 5179
-3085, -482, 1813, -10158, 12278, 5537
-3412, -852, 2142, -9242, 12527, 5382
-3776, -1113, 2486, -7516, 12456, 5966
-4136, -1240, 2801, -7590, 11410, 6366
-4428, -1324, 2970, -9660, 10166, 6586
-4589, -1562, 2921, -11585, 8949, 6866
-4619, -1901, 2784, -10730, 8863, 6200
-4652, -2135, 2669, -7778, 9807, 5330
-4752, -2176, 2609, -5569, 9517, 4754
-4846, -2142, 2558, -5117, 7418, 3962
-4846, -2124, 2476, -5178, 4949, 3007
-4768, -2078, 2373, -5271, 4036, 2447
-4697, -2006, 2273, -5580, 4088, 2190
-4657, -1952, 2179, -6158, 3768, 1896
-4625, -1989, 2098, -5825, 2779, 1326
-4599, -2030, 2006, -4278, 1597, 613
-4571, -2002, 1913, -2673, 547, 290
-4544, -1939, 1791, -1787, -445, 141
-4506, -1868, 1658, -1232, -1278, -137
-4459, -1755, 1516, -1207, -1813, -615
-4407, -1620, 1362, -1671, -2307, -1103
-4334, -1481, 1193, -1932, -2735, -1444
-4216, -1306, 1030, -2044, -2880, -1670
-4098, -1130, 855, -2051, -2788, -1493
-3976, -1004, 674, -1875, -2645, -953
-3854, -944, 510, -1259, -2278, -645
-3746, -908, 365, -571, -1768, -559
-3678, -873, 250, -175, -1307, -577
-3653, -841, 158, -194, -936, -713
-3657, -824, 81, -282, -713, -888
-3676, -827, 9, -237, -664, -1085
-3665, -847, -57, -26, -665, -1224
-3644, -863, -127, 412, -573, -1361
-3636, -863, -195, 851, -388, -1405
-3625, -841, -267, 1145, -59, -1199
-3598, -809, -328, 1187, 508, -873
-3556, -781, -363, 1022, 1143, -670
-3517, -748, -358, 548, 1663, -576
-3488, -731, -328, -9, 1951, -550
-3482, -729, -283, -361, 2059, -579
-3511, -751, -250, -384, 1983, -458
-3568, -794, -227, 90, 1844, -203
-3656, -853, -214, 828, 1689, 94
-3761, -887, -209, 1266, 1504, 278
-3842, -901, -200, 1032, 1499, 335
-3905, -921, -179, 599, 1623, 332
-3943, -954, -151, 406, 1522, 402
-3939, -990, -109, 404, 1312, 402
-3886, -1017, -56, 311, 1166, 187
-3812, -1023, 6, 118, 972, -5
-3743, -1015, 59, -112, 652, -146
-3700, -990, 96, -344, 240, -178
-3682, -976, 107, -529, -181, -77
-3683, -981, 88, -434, -507, 123
-3703, -985, 60, -508, -599, 216
-3744, -982, 42, -989, -626, 31
-3787, -986, 12, -1673, -867, -207
-3816, -1003, -36, -2018, -1051, -399
-3834, -1025, -115, -1885, -951, -428
-3836, -1055, -199, -1221, -592, -201
-3823, -1078, -266, -398, -105, 27
-3807, -1087, -297, 213, 394, 170
-3795, -1077, -280, 557, 695, 179
-3792, -1059, -231, 697, 556, 150
-3781, -1031, -188, 686, 237, 158
-3763, -1008, -169, 580, 28, 202
-3747, -1009, -168, 691, -37, 245
-3743, -1001, -175, 824, -1, 309
-3748, -990, -181, 599, -30, 309
-3756, -987, -191, 193, -58, 203
-3764, -992, -202, -115, -25, 65
-3773, -997, -210, -326, -64, -52
-3774, -1008, -217, -341, -69, -88
-3776, -1018, -219, -179, -45, -92
-3775, -1016, -220, -56, -59, -146
-3770, -995, -212, -192, -102, -208
-3763, -973, -212, -486, -127, -264
-3757, -961, -221, -697, -131, -275
