-3545, -1131, -1704, -89, 1249, 1570
-3632, -1227, -1501, -1553, 133, 644
-3687, -1363, -1374, -3577, 160, 198
-3733, -1677, -1252, -4240, 943, 492
-3836, -2169, -1091, -3833, 1502, -161
-4080, -2767, -865, -1894, 864, -1470
-4391, -3383, -582, 845, -691, -3064
-4688, -3834, -321, 2392, -2551, -4670
-4939, -4076, -207, 2020, -4975, -6872
-5138, -4218, -286, 1029, -6244, -8918
-5312, -4377, -437, 1645, -5778, -9481
-5519, -4495, -576, 3196, -5653, -9611
-5719, -4469, -734, 3602, -6442, -10629
-5851, -4438, -930, 3445, -6862, -11018
-5946, -4472, -1127, 4550, -6777, -10775
-6041, -4407, -1338, 5688, -7218, -11412
-6064, -4158, -1588, 5190, -7645, -12938
-5925, -3755, -1827, 3903, -6978, -14302
-5643, -3236, -1963, 3107, -4855, -14779
-5280, -2552, -1967, 2382, -3025, -14554
-4845, -1778, -1893, 1433, -2490, -13181
-4355, -1046, -1814, 1072, -2804, -10571
-3847, -460, -1755, 1545, -3251, -7594
-3325, -24, -1730, 2486, -3532, -4499
-2782, 214, -1757, 2950, -3403, -1314
-2300, 197, -1822, 3231, -2515, 1119
-1936, -16, -1808, 3565, -625, 2292
-1711, -267, -1658, 3445, 1265, 1547
-1575, -464, -1420, 2464, 1956, 68
-1532, -582, -1105, 562, 1931, -986
-1553, -672, -781, -1581, 1385, -1532
-1568, -720, -491, -2962, 658, -1383
-1567, -855, -209, -3184, 189, -133
-1642, -1077, 95, -1822, 148, 1760
-1869, -1328, 491, -998, 115, 3499
-2123, -1487, 910, -3144, -1152, 2837
-2326, -1768, 1201, -5922, -2905, 2175
-2607, -2357, 1470, -5845, -3119, 3433
-2946, -3026, 1779, -4521, -3411, 4045
-3178, -3582, 1990, -5238, -6517, 2848
-3300, -4331, 2011, -6295, -9315, 3044
-3410, -5264, 1849, -5594, -10779, 3062
-3424, -6020, 1475, -4571, -12887, 169
-3262, -6410, 844, -5796, -14419, -3867
-2938, -6669, 43, -8086, -14048, -6174
-2493, -6879, -806, -8023, -12315, -7965
-2016, -6894, -1590, -5527, -9042, -9693
-1599, -6704, -2257, -2947, -5385, -10597
-1250, -6352, -2790, -1084, -2296, -10945
-947, -5883, -3179, -99, 213, -11143
-690, -5359, -3412, 7, 2797, -11148
-488, -4837, -3515, -237, 5181, -11153
-324, -4347, -3519, -151, 7011, -10872
-224, -3917, -3448, 333, 8368, -10331
-169, -3529, -3295, 1029, 9309, -9731
-139, -3163, -3071, 1883, 9657, -9171
-91, -2781, -2801, 2343, 9555, -8668
-68, -2469, -2421, 2682, 9584, -8161
-147, -2266, -1984, 3807, 8550, -7977
-202, -1900, -1519, 3762, 6888, -7270
-163, -1372, -1147, 933, 6818, -6382
-65, -933, -918, -1781, 6911, -4210
29, -747, -651, -1889, 8411, -135
-36, -699, -308, -1090, 9888, 2555
-129, -647, 60, -672, 9587, 2910
-134, -602, 457, -107, 8779, 3908
-279, -664, 938, 857, 9338, 6871
-651, -721, 1400, 253, 8082, 8679
-976, -812, 1743, -2353, 4218, 8774
-1160, -1062, 2007, -4465, 2580, 8890
-1364, -1438, 2251, -4887, 2612, 9376
-1664, -1877, 2511, -4029, 2122, 10233
-2015, -2261, 2800, -3712, 184, 10328
-2314, -2575, 2995, -4738, -3160, 9790
-2562, -2965, 3052, -5442, -5308, 10324
-2862, -3407, 3029, -5327, -6318, 10953
-3133, -3797, 2881, -5660, -8541, 10143
-3319, -4168, 2492, -5760, -11566, 9716
-3395, -4721, 1903, -3969, -13641, 11155
-3328, -5351, 1204, -1823, -14451, 11553
-3081, -5860, 452, -2158, -14409, 7905
-2668, -6202, -261, -3981, -11563, 2847
-2207, -6403, -884, -4835, -6633, -834
-1850, -6409, -1375, -3461, -2913, -2489
-1554, -6266, -1716, -1634, -1381, -2285
-1297, -6045, -1898, -415, -301, -1460
-1078, -5782, -1940, -124, 1104, -1593
-917, -5483, -1878, -220, 2559, -2574
-840, -5147, -1741, -79, 3501, -3262
-825, -4793, -1553, 620, 3569, -3288
-823, -4437, -1352, 1674, 3199, -2644
-809, -4072, -1150, 2464, 2986, -1702
-787, -3722, -959, 2762, 3242, -954
-775, -3414, -821, 3390, 3680, -631
-818, -3092, -775, 4781, 3792, -412
-847, -2678, -824, 6085, 3797, 54
-774, -2239, -1004, 7819, 4271, 1231
-733, -1760, -1239, 10378, 5951, 3596
-727, -1206, -1391, 11402, 9281, 6372
-948, -658, -1352, 8923, 12912, 8808
-1397, -310, -1175, 4902, 14124, 10011
-1916, -255, -966, 1834, 13048, 10336
-2365, -408, -837, 615, 10450, 10301
-2716, -647, -764, 527, 9149, 10662
-3030, -865, -716, -247, 9292, 10423
-3365, -1069, -651, -2210, 9471, 9683
-3696, -1277, -596, -4805, 8722, 8570
-3966, -1475, -584, -7108, 7504, 7209
-4282, -1655, -653, -8576, 6234, 5957
-4634, -1817, -783, -8624, 4926, 5813
-4888, -1877, -937, -8707, 3726, 5994
-5105, -1918, -1118, -9267, 3028, 6759
-5318, -2105, -1318, -9437, 2822, 8379
-5521, -2400, -1463, -9123, 2847, 9606
-5623, -2650, -1561, -10594, 2154, 8290
-5550, -2782, -1698, -13552, 1177, 4224
-5289, -2981, -1922, -14163, 1498, 530
-4997, -3324, -2143, -9039, 4302, 832
-5483, -3569, -1925, 44, 7016, 3052
-5443, -3989, -863, 851, -6057, -7591
-5544, -3857, 71, -2017, -9105, -8939
-5029, -3447, -195, -2032, -6223, -5668
-4549, -3082, -446, -1496, -2157, -1612
-4312, -2977, -452, -431, 345, 832
-4167, -2937, -512, 2344, 1323, 1896
-4024, -2807, -624, 4673, 1971, 2603
-3904, -2571, -780, 6148, 2430, 2883
-3831, -2255, -945, 6184, 2457, 2507
-3781, -1947, -1103, 5393, 2187, 1825
-3741, -1698, -1257, 4878, 2084, 1432
-3708, -1516, -1372, 4945, 2244, 1376
-3739, -1351, -1412, 4836, 2232, 972
-3789, -1181, -1431, 3931, 1647, 224
-3799, -1054, -1469, 2654, 845, -336
-3781, -987, -1539, 1681, 733, -549
-3738, -942, -1601, 770, 872, -707
-3700, -927, -1629, 96, 1144, -891
-3675, -901, -1631, -289, 1155, -1032
-3653, -886, -1631, -407, 942, -1052
-3618, -895, -1640, -102, 668, -862
-3578, -910, -1654, 266, 513, -553
-3561, -917, -1665, 142, 345, -376
-3554, -940, -1684, -418, 141, -371
-3549, -995, -1707, -797, 87, -325
-3542, -1075, -1730, -627, 138, -146
-3541, -1163, -1736, -154, 148, 10
-3544, -1231, -1730, 349, 156, 152
-3548, -1274, -1711, 525, 80, 101
-3549, -1284, -1701, 598, 107, 144
-3541, -1291, -1693, 865, 190, 409
-3526, -1300, -1678, 1696, 281, 764
-3532, -1254, -1669, 1449, 275, 629
-3535, -1211, -1673, 814, 259, 442
