-3829, -675, -1123, 976, 12805, -633
-4041, -765, -1350, 343, 14921, -815
-4253, -896, -1610, 106, 11167, -1336
-4448, -883, -1850, -51, 11488, -2591
-4708, -1318, -2266, 1127, 11784, -3473
-5317, -1564, -2571, 4081, 7556, -4924
-5668, -1805, -3090, 4323, 2771, -7230
-5877, -2076, -3771, 5671, 1203, -10212
-6173, -2265, -4520, 6090, 1436, -13340
-6675, -2757, -5328, 6117, 1742, -16223
-7179, -3241, -6231, 8701, -253, -18267
-6942, -3480, -7030, 10552, -1406, -17295
-6140, -3360, -7316, 11891, -15, -15432
-5203, -2976, -6782, 12676, 1123, -13097
-4205, -2108, -5533, 12872, -297, -10297
-3226, -419, -3736, 10839, -2056, -10300
-2574, 1363, -1819, 6076, -5897, -10233
-2116, 2469, -216, 6101, -12653, -4541
-1680, 3108, 833, 6641, -19421, -1427
-1146, 3179, 1198, 5189, -24207, -2747
-225, 2763, 990, 2076, -26016, -5018
818, 1989, 470, 1052, -25988, -1644
1643, 942, -131, 2729, -26022, 2862
2190, 23, -548, 2645, -22195, 3918
2558, -745, -704, -2079, -14523, 1020
2653, -1519, -711, -7829, -6924, -3456
2547, -2266, -851, -11191, -2942, -7502
2239, -2950, -1117, -11890, -1494, -7932
1756, -3637, -1524, -11456, -1780, -4879
1257, -4459, -1999, -11335, -1738, -2075
784, -5279, -2459, -12836, -797, -2603
240, -6248, -3046, -15566, -1234, -5150
-302, -7391, -3813, -14472, -1454, -8934
-812, -8584, -5095, -11839, 1217, -12755
-1159, -9624, -6597, -9253, 6769, -14927
-1270, -10243, -7890, -4330, 18499, -15395
-1342, -10184, -8681, -2214, -32677, -15163
-7626, -1593, -390, -14476, -32676, 8711
-3311, 477, -567, 15870, 4904, -4987
-2026, 954, -547, -11368, 24667, -11744
-1825, -10, -491, -11553, 20662, -5555
-1641, -1148, -304, -2121, 8291, -2964
-1032, -1349, -338, 5195, -644, -326
-449, -1266, -427, 2025, 356, -149
5, -1465, -701, -2292, 3314, -711
335, -1853, -1112, -46, 5629, 227
537, -2171, -1388, 3946, 6462, 1053
640, -2307, -1504, 7200, 6943, 665
644, -2090, -1496, 8834, 6420, 2128
609, -1855, -1438, 8727, 5733, 4590
532, -1663, -1244, 8851, 4468, 7391
452, -1426, -1122, 11046, 4408, 10846
305, -1134, -985, 10976, 4379, 12917
146, -902, -893, 11033, 3345, 15743
-33, -700, -893, 11044, 3236, 18911
-282, -534, -922, 10137, 3868, 21622
-569, -374, -944, 8750, 5281, 23464
-982, -228, -956, 5593, 6544, 24549
-1503, -174, -1022, 1836, 7331, 25294
-2072, -259, -1113, -983, 8205, 25857
-2714, -404, -1199, -1456, 9424, 25438
-3503, -547, -1323, -652, 10166, 25138
-4512, -735, -1486, 591, 11148, 26562
-5695, -902, -1582, 2130, 13733, 29156
-6944, -937, -1584, 3519, 17025, 29298
-8145, -881, -1552, 2849, 17879, 28145
-8985, -849, -1522, -1317, 16330, 26634
-9635, -298, -938, -16649, 19994, 21759
-9688, -928, -1039, -29322, 10210, 14423
-9062, -1774, -1265, -19656, 7774, 9695
-8396, -2471, -1180, -8194, 7364, 5751
-7852, -2857, -1219, -1047, 2434, 1351
-7330, -2900, -1211, 5005, -2268, -1229
-6821, -2701, -1155, 8159, -5706, -1680
-6352, -2393, -1134, 7670, -8162, -1671
-5938, -2054, -1171, 5246, -9486, -1908
-5584, -1711, -1214, 1490, -9438, -2665
-5260, -1406, -1238, -2664, -8038, -4123
-4952, -1160, -1256, -6698, -5651, -5951
-4681, -1002, -1277, -9822, -2711, -7499
-4470, -932, -1306, -11108, -371, -8079
-4319, -935, -1311, -10503, 1081, -7956
-4201, -990, -1286, -8274, 1810, -7353
-4131, -1041, -1235, -5498, 1684, -6555
-4087, -1059, -1184, -2849, 958, -5760
-4087, -1035, -1136, -807, -186, -5056
-4095, -986, -1098, 412, -1204, -4699
-4084, -934, -1083, 1143, -1922, -4573
-4120, -872, -1088, 1619, -2090, -4788
-4126, -791, -1102, 1795, -2083, -5201
-4113, -695, -1117, 1713, -1788, -5499
-4093, -599, -1131, 1516, -1262, -5566
-4048, -527, -1131, 1614, -468, -5272
-3994, -476, -1118, 2118, 296, -4687
-3937, -440, -1099, 2912, 866, -3870
-3880, -419, -1075, 3898, 1141, -2836
-3845, -404, -1055, 4888, 1259, -1811
-3810, -399, -1033, 5769, 1305, -855
-3789, -392, -1009, 6513, 1284, -75
-3771, -374, -990, 6906, 1145, 433
-3757, -348, -974, 6901, 1006, 780
-3753, -314, -964, 6503, 966, 1072
-3770, -283, -949, 5907, 1135, 1298
-3798, -261, -932, 5195, 1317, 1445
-3831, -240, -907, 4289, 1290, 1479
-3852, -224, -881, 3255, 1055, 1394
-3856, -220, -856, 2108, 832, 1208
-3853, -230, -838, 1014, 620, 975
-3852, -251, -829, 266, 438, 839
-3852, -281, -833, -171, 285, 827
-3854, -318, -845, -380, 181, 903
-3851, -358, -861, -421, 145, 1015
-3849, -396, -878, -372, 186, 1120
-3846, -433, -898, -255, 289, 1194
-3841, -462, -909, -163, 388, 1234
-3838, -481, -915, -178, 457, 1244
-3842, -491, -913, -341, 455, 1222
-3845, -500, -913, -563, 392, 1176
-3846, -516, -914, -751, 314, 1123
-3842, -533, -919, -857, 246, 1059
-3842, -547, -927, -900, 205, 1016
-3842, -559, -928, -910, 204, 1007
-3840, -571, -936, -919, 232, 1021
-3840, -583, -941, -938, 297, 1036
-3840, -597, -947, -936, 356, 1023
-3844, -611, -949, -919, 398, 993
-3848, -625, -949, -887, 407, 948
-3854, -636, -944, -840, 401, 907
-3857, -649, -941, -809, 366, 830
-3860, -662, -935, -787, 311, 721
-3865, -673, -923, -774, 271, 613
-3869, -681, -921, -769, 221, 477
-3872, -691, -918, -769, 143, 321
-3872, -699, -921, -728, 97, 182
-3868, -705, -920, -631, 89, 69
-3863, -707, -917, -485, 91, -10
-3856, -706, -916, -364, 89, -69
-3851, -702, -912, -266, 75, -130
-3849, -699, -908, -174, 52, -192
-3851, -694, -904, -70, 37, -256
-3857, -686, -897, 27, -4, -308
-3869, -676, -895, 82, -93, -350
-3869, -664, -895, 112, -141, -406
-3863, -655, -890, 150, -108, -460
-3863, -642, -882, 210, -102, -519
