-3356, -1692, 2812, -14305, -8545, -6909
-3419, -2114, 3250, -23458, -9978, -7621
-3575, -3181, 3715, -25795, -12661, -8814
-3796, -4808, 4315, -19390, -15293, -15022
-3990, -5983, 4865, -10716, -15569, -19475
-4294, -6602, 5275, -9803, -15806, -22756
-4608, -7196, 5572, -12880, -17187, -23758
-4866, -7866, 5714, -14257, -17489, -25922
-5092, -8415, 5632, -11848, -16524, -29706
-5445, -8631, 5366, -6679, -15344, -32294
-5772, -8317, 4833, -851, -14578, 32650
-6066, -7459, 4048, 3785, -14058, 32650
-6237, -6134, 3039, 6043, -13602, -30888
-6144, -4768, 2077, 4557, -11683, -26091
-5871, -3595, 1238, 2099, -8396, -22245
-5511, -2665, 610, 891, -6320, -17863
-5033, -1992, 179, -40, -7284, -14830
-4326, -1586, -161, -866, -8388, -13000
-3482, -1460, -386, -478, -7651, -11925
-2619, -1434, -499, 869, -6346, -13459
-1921, -1298, -522, 2546, -5555, -15647
-1435, -1118, -428, 3270, -6808, -16994
-1039, -913, -347, 2976, -9243, -19729
-749, -588, -452, 2437, -10146, -22129
-666, -174, -758, 2021, -10396, -22581
-794, 255, -1224, 2761, -12154, -21873
-975, 743, -1837, 5209, -14987, -20090
-1084, 1325, -2522, 7505, -17000, -17038
-1124, 1962, -3174, 8500, -17227, -14668
-1080, 2655, -3737, 7295, -15896, -12794
-989, 3340, -4191, 4876, -13632, -10628
-909, 3797, -4539, 3762, -11767, -7313
-747, 4120, -4801, 4223, -9647, -2360
-558, 4327, -4990, 2056, -7041, 1807
-438, 4313, -5108, -1728, -5777, 4594
-373, 4156, -5214, -3902, -5476, 7228
-305, 4037, -5387, -5325, -6285, 8297
-119, 3939, -5571, -5533, -5735, 7123
126, 3931, -5755, -4169, -3026, 6411
374, 4071, -6026, -4801, -871, 8373
670, 4235, -6312, -9118, 263, 9977
965, 4281, -6491, -11796, 2358, 9380
1254, 4265, -6546, -7157, 5894, 7558
1352, 4414, -6478, 1239, 9750, 6992
1110, 4886, -6493, 7323, 10316, 7187
768, 5585, -6928, 9966, 9936, 8578
300, 6217, -7739, 9150, 12305, 14400
-143, 5923, -9204, 8403, 18646, 20949
-93, 4522, -10985, 10028, 32756, 17653
-1392, 2821, -13185, 8036, 32756, 5095
-5215, 1194, -15030, 3862, 32756, 5400
-10064, -291, -14954, 9674, 32756, 12411
-13874, 429, -10860, 22960, 32756, 13332
-15595, 2357, -6656, 12535, 32756, 22999
-13529, 779, -5243, 4869, 5658, 20877
-10242, -2227, -3579, -1106, 6156, -101
-8642, -2082, -1686, -3753, 11050, -25186
-7963, -64, -552, -19245, -1352, 32650
-7048, 1191, 686, -25159, -4453, -28389
-6511, 924, 2074, -6177, 9423, -4469
-5920, 806, 3114, 17629, 14476, 7112
-5165, 1570, 3692, 19506, 7471, 6789
-4763, 2917, 4551, 7906, 4067, -1157
-4307, 3726, 5150, -5917, 403, -4811
-3854, 3681, 5440, -10448, -942, -3707
-3404, 3069, 5483, -6232, -502, -894
-2939, 2533, 5538, 885, 1845, 2331
-2544, 2237, 5551, 4596, 3063, 4361
-2253, 2056, 5549, 4155, 1482, 3456
-2037, 1937, 5474, 1989, -605, 1080
-1825, 1826, 5264, -572, -1939, -513
-1565, 1703, 4971, -2663, -2376, -1287
-1284, 1540, 4621, -3519, -2463, -1665
-1011, 1338, 4245, -3277, -2401, -1685
-788, 1109, 3848, -2090, -2227, -1530
-591, 872, 3388, -907, -2218, -1391
-374, 599, 2837, -262, -1721, -1406
-142, 225, 2194, 145, -269, -1590
-6, -204, 1534, 541, 1716, -2633
15, -568, 940, 1086, 3155, -5047
34, -828, 373, 1153, 4996, -7581
-18, -950, -138, 266, 6661, -9307
-145, -953, -565, -2457, 8355, -10887
-363, -835, -794, -6144, 9892, -12223
-629, -602, -869, -9924, 12732, -12508
-910, -257, -742, -13642, 15182, -10583
-1287, 138, -472, -16779, 16300, -6595
-1884, 407, -216, -18852, 17404, -1056
-2629, 572, 4, -21490, 16105, 3855
-3595, 682, 152, -23960, 11809, 6700
-4809, 629, 42, -26415, 5759, 9472
-6232, 333, -242, -30704, -607, 13850
-7408, -262, -508, 32630, -4530, 18950
-8251, -1336, -451, -32171, -4288, 25071
-8564, -2601, 102, -18005, 4331, 28580
-8712, -3433, 696, -2472, 15150, 24991
-8749, -3877, 1211, 3422, 15873, 16910
-8679, -4037, 1740, 3422, 14547, 10136
-8516, -3972, 2288, 1235, 12664, 6812
-8296, -3770, 2660, -2772, 7890, 5916
-7935, -3607, 2769, -6743, 2783, 5419
-7455, -3527, 2660, -9598, -1071, 4366
-6949, -3439, 2397, -11608, -3320, 2519
-6452, -3311, 2088, -13190, -3844, 452
-6003, -3159, 1776, -14265, -3099, -1219
-5578, -3026, 1490, -14760, -1959, -2128
-5201, -2935, 1239, -14300, -919, -2455
-4889, -2902, 1037, -12798, -304, -2403
-4635, -2883, 902, -10182, 10, -2433
-4444, -2854, 802, -6879, -103, -2908
-4308, -2765, 726, -3835, -536, -3733
-4214, -2609, 650, -1747, -1350, -4248
-4137, -2434, 568, -283, -2183, -4307
-4043, -2279, 475, 961, -2474, -4087
-3948, -2156, 395, 2592, -2208, -3844
-3882, -2093, 327, 5082, -1859, -3153
-3833, -2082, 314, 8471, -685, -2491
-3840, -2013, 352, 12138, 961, -2588
-3895, -1806, 385, 13715, 1146, -3128
-3963, -1485, 424, 12305, 36, -3654
-3994, -1142, 471, 8904, -1129, -3937
-3965, -833, 537, 4831, -1215, -4217
-3925, -563, 617, 1251, -852, -4434
-3906, -349, 688, -1983, -1245, -4181
-3884, -243, 729, -4083, -1962, -3508
-3836, -254, 763, -4592, -2094, -2944
-3800, -283, 941, -3789, -1107, -3170
-3831, -193, 1187, -3434, -1155, -3854
-3890, -11, 1295, -6281, -4665, -3258
-3841, 42, 1249, -9434, -8218, -1432
-3703, -98, 1148, -10543, -8594, 96
-3537, -346, 1037, -9616, -6780, 819
-3411, -596, 943, -7451, -4318, 722
-3342, -809, 874, -4712, -2135, 516
-3312, -987, 834, -1980, -204, 768
-3312, -1128, 823, 434, 1283, 1319
-3333, -1229, 831, 2355, 2089, 1700
-3376, -1286, 861, 3713, 2202, 1603
-3416, -1293, 897, 4158, 1884, 1414
-3437, -1251, 953, 3641, 1444, 1532
-3426, -1205, 1012, 2533, 1042, 1771
-3419, -1175, 1059, 1225, 685, 2032
-3417, -1159, 1113, -193, 239, 2396
-3424, -1189, 1133, -822, -157, 2790
-3428, -1244, 1137, -1043, -399, 2991
-3427, -1311, 1129, -1134, -536, 2691
-3434, -1379, 1114, -964, -498, 2157
-3451, -1444, 1093, -532, -360, 1720
-3471, -1501, 1070, 46, -175, 1342
-3479, -1529, 1058, 501, 148, 855
-3487, -1526, 1049, 632, 409, 421
-3500, -1504, 1047, 493, 465, 70
-3509, -1472, 1055, 229, 432, -218
-3512, -1439, 1067, -46, 343, -324
-3505, -1414, 1073, -239, 182, -265
-3490, -1407, 1067, -177, 102, -189
-3476, -1408, 1061, 51, 208, -165
-3475, -1407, 1054, 473, 351, -101
-3475, -1403, 1052, 948, 533, 95
-3473, -1397, 1060, 1470, 630, 179
-3487, -1384, 1079, 2086, 753, 324
-3508, -1368, 1119, 2984, 938, 649
-3515, -1337, 1174, 4019, 1284, 1077
-3505, -1282, 1219, 4780, 1535, 1474
-3500, -1206, 1267, 5081, 1749, 1571
-3520, -1104, 1309, 4760, 1694, 1254
-3564, -984, 1360, 3791, 1093, 698
-3608, -865, 1399, 2248, 228, 326
-3637, -782, 1409, 652, -620, 237
-3642, -766, 1388, -272, -1079, 108
-3639, -779, 1342, -381, -1134, 5
-3628, -795, 1284, -223, -965, -24
-3614, -812, 1222, 9, -763, -74
-3604, -827, 1162, 203, -504, -136
-3591, -835, 1112, 295, -438, -280
-3577, -836, 1064, 285, -377, -499
-3571, -832, 1025, 220, -400, -569
-3560, -830, 989, 238, -315, -538
-3552, -828, 966, 428, -184, -406
-3551, -816, 961, 755, -112, -82
-3561, -791, 961, 1176, -187, 698
-3567, -770, 963, 1417, -346, 1384
-3544, -749, 954, 1462, -299, 1374
-3515, -712, 953, 1312, 101, 1025
-3496, -670, 954, 1096, 675, 896
-3501, -633, 980, 846, 1051, 703
-3528, -599, 1023, 557, 972, 228
-3565, -570, 1068, 280, 600, -50
-3593, -545, 1113, 115, 221, -60
-3615, -535, 1141, 149, -23, -23
-3626, -528, 1155, 287, -93, 49
-3628, -519, 1164, 387, 13, 97
-3623, -510, 1177, 301, 140, -7
-3626, -495, 1185, -16, 178, -173
-3628, -488, 1193, -310, 148, -253
