-4172, 44, -839, -12156, -6342, -29
-3982, -13, -1011, -12968, -4808, 1202
-3846, -95, -1078, -13561, -4458, 1466
-3699, -177, -1173, -13303, -4357, 1999
-3592, -219, -1279, -12896, -3980, 2515
-3532, -237, -1387, -13799, -3955, 2651
-3493, -218, -1532, -17067, -4332, 2423
-3440, -231, -1702, -22242, -4249, 1750
-3321, -427, -1915, -26615, -2674, 582
-3254, -789, -2108, -27015, 206, -470
-3282, -1103, -2234, -24339, 1130, -402
-3302, -1464, -2319, -20455, 153, -878
-3283, -1806, -2395, -16839, -581, -1589
-3261, -2033, -2437, -14302, -536, -2370
-3280, -2154, -2503, -11815, -404, -1476
-3318, -2299, -2525, -9505, -1074, 156
-3398, -2432, -2539, -6680, -1457, 1185
-3499, -2482, -2555, -4509, -1805, 1554
-3559, -2473, -2569, -3457, -1626, 2063
-3538, -2486, -2571, -2835, -793, 2783
-3428, -2570, -2527, -1726, 425, 3370
-3303, -2668, -2432, -336, 1709, 3327
-3259, -2734, -2307, 618, 2617, 2653
-3355, -2826, -2166, 1548, 2894, 1732
-3563, -2920, -2025, 3031, 2243, 265
-3782, -2924, -1906, 4386, 1089, -1397
-3939, -2806, -1817, 4729, 308, -2754
-3966, -2589, -1712, 4243, 360, -3889
-3969, -2390, -1701, 4227, 512, -4353
-3909, -2164, -1644, 3665, 1561, -4769
-3875, -1944, -1588, 3342, 2284, -4815
-3837, -1748, -1525, 3405, 2356, -4601
-3811, -1568, -1473, 3668, 2271, -4317
-3791, -1403, -1434, 4042, 1894, -3953
-3747, -1228, -1406, 4324, 1505, -3637
-3682, -997, -1380, 3841, 1288, -3619
-3622, -768, -1351, 2761, 1203, -3327
-3586, -597, -1320, 1925, 973, -2372
-3563, -478, -1287, 1500, 492, -1462
-3540, -385, -1265, 1210, -225, -967
-3509, -308, -1260, 851, -944, -486
-3487, -256, -1271, 422, -1403, -8
-3534, -234, -1301, -184, -1802, 360
-3618, -233, -1349, -939, -2278, 484
-3708, -252, -1415, -1821, -2666, 487
-3815, -273, -1499, -2812, -2933, 510
-3947, -297, -1594, -3946, -3081, 589
-4162, -333, -1705, -4794, -3186, 876
-4426, -393, -1809, -5274, -3384, 1434
-4607, -447, -1909, -5594, -3563, 2130
-4548, -507, -1975, -5806, -3200, 2876
-4291, -598, -1991, -5943, -2229, 3540
-3958, -723, -1957, -5908, -933, 3796
-3697, -856, -1878, -5830, 449, 3414
-3596, -992, -1776, -5601, 1316, 2891
-3642, -1144, -1672, -5000, 1602, 2513
-3755, -1285, -1566, -4198, 1354, 2091
-3850, -1365, -1471, -3900, 533, 1166
-3897, -1376, -1399, -4520, -545, -275
-3892, -1317, -1347, -6203, -1036, -1881
-3831, -1262, -1260, -9175, -1086, -3618
-3741, -1245, -1213, -10867, -932, -4842
-3611, -1257, -1171, -10695, -888, -5191
-3479, -1260, -1130, -9552, -1165, -4865
-3360, -1252, -1125, -8119, -1860, -3784
-3247, -1256, -1167, -6512, -2468, -2468
-3163, -1272, -1254, -4968, -2638, -1121
-3107, -1299, -1351, -3492, -2503, 34
-3087, -1318, -1469, -1729, -2241, 1214
-3057, -1342, -1530, -1497, -1842, 1538
-3065, -1340, -1528, -3587, -971, 856
-3054, -1368, -1534, -6293, -379, -349
-3086, -1454, -1557, -6746, 58, -685
-3176, -1569, -1565, -5764, 167, -390
-3326, -1645, -1553, -4427, 18, 287
-3468, -1727, -1571, -3064, -162, 1029
-3609, -1795, -1587, -1984, 687, 1282
-3782, -1824, -1591, -2681, 1580, 739
-3905, -1883, -1550, -4174, 2075, 55
-4060, -1967, -1502, -5441, 1721, -803
-4135, -2113, -1507, -4375, 1037, -1329
-4100, -2195, -1485, -1646, 915, -1108
-3949, -2178, -1403, -514, 839, -1176
-3744, -2110, -1326, -221, 708, -1448
-3565, -2027, -1295, 541, 531, -1590
-3464, -1947, -1282, 2307, 253, -1434
-3496, -1814, -1291, 4261, 44, -776
-3639, -1658, -1323, 6103, -719, 394
-3889, -1417, -1413, 8386, -1444, 2268
