-3689, -1838, -1026, -1258, -357, -2050
-3683, -1962, -1032, -549, -707, -2511
-3675, -2032, -1043, 247, -983, -2601
-3671, -2106, -1062, 859, -1193, -2960
-3659, -2162, -1076, 1265, -1281, -3721
-3663, -2167, -1084, 825, -1130, -4141
-3661, -2176, -1094, -333, -1099, -4368
-3647, -2222, -1117, -2755, -1058, -5599
-3602, -2349, -1161, -5019, -893, -7588
-3557, -2385, -1241, -5485, 20, -8260
-3490, -2427, -1336, -4443, 248, -7806
-3403, -2481, -1427, -2971, 1235, -7167
-3323, -2539, -1518, -1135, 1786, -6862
-3208, -2570, -1637, 574, 2887, -6549
-3093, -2552, -1743, 1770, 4081, -6034
-2994, -2505, -1811, 2722, 5403, -5369
-3010, -2435, -1825, 3558, 5091, -4207
-3015, -2369, -1762, 4541, 2574, -2440
-2974, -2363, -1683, 5170, 822, -1798
-2859, -2333, -1660, 5361, 294, -2046
-2759, -2263, -1628, 3830, 1855, -2727
-2672, -2150, -1597, 1393, 2551, -2855
-2583, -2079, -1533, -533, 2990, -2437
-2497, -2095, -1532, -1182, 3262, -1949
-2379, -2094, -1550, -1131, 4535, -1104
-2271, -2081, -1609, -1174, 6525, -137
-2185, -2055, -1699, -1304, 8158, 968
-2139, -2015, -1783, -789, 7874, 2568
-2137, -1982, -1830, -272, 8600, 3644
-2191, -1846, -1845, 304, 6988, 5014
-2258, -1688, -1844, -41, 5741, 5954
-2356, -1545, -1837, -847, 4695, 6374
-2477, -1454, -1818, -1598, 3434, 6465
-2642, -1405, -1798, -1848, 1901, 6208
-2821, -1346, -1809, -1987, 55, 6017
-2999, -1270, -1871, -2327, -1608, 6355
-3196, -1194, -1978, -2975, -2956, 7174
-3408, -1113, -2104, -4743, -4160, 7680
-3726, -1172, -2159, -8307, -5909, 6400
-4077, -1425, -2076, -15564, -8713, 1141
-4263, -1792, -2163, -23438, -12342, -5105
-4188, -2298, -2494, -24138, -13350, -6096
-4000, -2616, -2790, -17752, -12855, -2328
-3799, -2808, -2999, -8297, -11167, 2899
-3605, -2832, -3164, -277, -8838, 6351
-3425, -2751, -3277, 3875, -6140, 7545
-3294, -2634, -3281, 6509, -3445, 7651
-3273, -2455, -3191, 7192, -1379, 6745
-3279, -2190, -3050, 6857, 245, 6014
-3329, -1963, -2856, 4793, 886, 4972
-3435, -1796, -2646, 2529, 686, 3963
-3649, -1675, -2484, 687, -519, 3036
-3869, -1611, -2373, -648, -2800, 2232
-3930, -1582, -2294, -1293, -4817, 1974
-3811, -1586, -2227, -1490, -5723, 2118
