-3747, -1641, -1142, 102, 51, -1839
-3787, -1773, -1129, 769, -67, -2259
-3815, -1878, -1125, 1314, -270, -2810
-3821, -1957, -1138, 1375, -384, -3386
-3819, -2053, -1104, 940, -370, -4083
-3758, -2190, -1056, 820, 499, -5640
-3794, -2316, -1097, 90, 2799, -7909
-3913, -2401, -1060, -914, 1994, -8184
-3975, -2600, -993, -516, 1303, -9177
-4037, -2793, -989, 409, 1310, -11412
-3974, -2819, -1071, -971, 1789, -13296
-3919, -2909, -1147, -3228, 2965, -14888
-3915, -3142, -1229, -2862, 1692, -15591
-3765, -3425, -1222, -2227, 2978, -18083
-3637, -3600, -1275, -3830, 6581, -23113
-3515, -3310, -1557, -7048, 7645, -28673
-2815, -3568, -1908, -6810, 6196, -26770
-2188, -4125, -2259, -2109, 9715, -25448
-1686, -4429, -2556, 1974, 12293, -25798
-1194, -4352, -2715, 3650, 13116, -24196
-692, -4362, -2815, 3669, 13837, -20935
-243, -4458, -2862, 5907, 14505, -18678
146, -4371, -2816, 7645, 14442, -16391
469, -4140, -2672, 7391, 13829, -14957
729, -3785, -2453, 7242, 12825, -12370
1099, -3695, -2286, 6475, 12054, -11289
1418, -3535, -2087, 6270, 12326, -10556
1651, -3292, -1860, 6579, 12004, -9515
1864, -3075, -1628, 6033, 11587, -8793
2039, -2831, -1380, 5961, 11541, -7771
2132, -2641, -1109, 5782, 11130, -6887
2239, -2465, -840, 5696, 10731, -6380
2327, -2294, -569, 5471, 10273, -6124
2379, -2101, -299, 5434, 9799, -5624
2430, -1923, -32, 5383, 9371, -5430
2497, -1773, 210, 5465, 9128, -4811
2532, -1594, 452, 5415, 8898, -4549
2421, -1393, 710, 5382, 8744, -4068
2240, -1153, 966, 5405, 8155, -3858
2079, -865, 1179, 4918, 7715, -3351
1719, -563, 1400, 4092, 7771, -1515
1357, -255, 1639, 4072, 6204, 280
1149, -44, 1856, 3749, 4533, 881
1117, 129, 2044, 3511, 3000, 841
1290, 331, 2172, 2663, 2661, 526
1410, 388, 2291, 2355, 2753, 955
1546, 478, 2404, 2349, 1983, 755
1616, 605, 2523, 1571, 1923, -30
1616, 659, 2629, 959, 1664, -850
1643, 695, 2717, 460, 1333, -411
1649, 642, 2816, 361, 1179, 367
1707, 564, 2890, 232, 1104, 648
1743, 475, 2952, 52, 1118, 687
1692, 397, 3023, 275, 943, 1060
1696, 311, 3075, 173, 456, 823
1687, 269, 3127, 35, 271, 484
1742, 213, 3161, 226, -157, 605
1832, 224, 3173, 281, 23, 697
1831, 269, 3205, -117, 179, 655
1876, 252, 3236, -21, 480, 766
1870, 239, 3283, 244, 279, 972
1888, 262, 3304, 364, 157, 694
1914, 292, 3313, 269, 501, 485
1983, 304, 3308, 36, 882, 144
1934, 349, 3315, 33, 927, 532
1876, 336, 3326, -11, 470, 339
1839, 334, 3343, -205, 229, -70
1825, 315, 3346, -505, -137, -250
1801, 373, 3341, -651, -46, -46
1746, 331, 3327, -1018, -484, -113
1646, 319, 3357, -1337, -2049, -342
1631, 330, 3358, 79, -3896, 27
1587, 428, 3338, 356, -4987, 1614
1532, 687, 3264, -653, -6562, 3073
1559, 807, 3107, -2613, -7606, 3233
1447, 765, 2997, -3065, -8405, 2910
1402, 782, 2863, -3284, -10220, 3526
1422, 853, 2648, -3961, -10925, 5654
1541, 905, 2368, -4734, -10283, 8506
1597, 741, 2155, -4954, -9126, 11974
1631, 561, 2004, -3949, -9182, 14921
1598, 400, 1881, -3990, -9075, 16885
1550, 190, 1725, -3955, -8572, 18590
1471, -40, 1489, -4123, -9144, 20041
1463, -441, 1278, -4303, -9856, 20482
1435, -781, 1101, -3771, -9289, 20687
1311, -1080, 900, -4370, -10732, 21369
1228, -1474, 702, -2392, -7824, 22635
1128, -1767, 530, -282, -6698, 23603
934, -1898, 389, -1092, -5384, 22779
598, -2133, 249, -5178, -5322, 20403
225, -2491, 154, -8144, -4097, 16496
-56, -3003, 31, -8590, -2831, 15012
-266, -3417, -104, -7650, -1764, 14763
-496, -3789, -209, -4552, -930, 14572
-737, -3812, -290, -1941, -602, 14372
-999, -3687, -403, -2520, -672, 15278
-1301, -3727, -567, -4224, -254, 17585
-1713, -4125, -772, -3882, 1849, 19192
-2047, -4547, -855, -1132, 4011, 16962
-2343, -4559, -853, -185, 5395, 13139
-2648, -4239, -859, -1936, 5027, 10827
-2960, -3960, -931, -5171, 3837, 11210
-3219, -3799, -1027, -7376, 3188, 11661
-3425, -3744, -1161, -7793, 3765, 11370
-3622, -3702, -1286, -6601, 4440, 11056
-3801, -3641, -1375, -4529, 4658, 11008
-3975, -3537, -1423, -2382, 4514, 11332
-4137, -3423, -1455, -3427, 1925, 11152
-4157, -3451, -1515, -239, 2200, 10815
-4223, -3381, -1521, 2851, 3172, 10618
-4277, -3224, -1465, 3584, 2612, 8844
-4348, -3001, -1355, 1951, 2276, 5779
-4358, -2836, -1263, -1020, 376, 2007
-4315, -2642, -1241, -2472, -471, -651
-4246, -2451, -1248, -3697, -1329, -2144
-4142, -2280, -1276, -4566, -1788, -2846
